"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2006",527,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2009",527,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2012",523.728,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2015",511,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2018",504,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2006",515,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2012",510.108,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2015",504,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2018",491,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2006",511,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2009",510,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2012",506.82,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2015",508,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2018",501,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2006",536,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2009",531,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2012",526.875,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2015",528,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2018",516,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2006",515,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2009",498,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2012",508.721,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2015",497,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2018",496,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2006",500,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2009",505,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2012",503.533,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2015",505,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2018",492,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2006",562,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2009",546,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2012",537.436,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2015",521,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2018",510,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2006",497,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2009",500,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2012",497.716,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2015",496,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2018",493,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2006",519,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2009",523,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2012",523.86,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2015",514,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2018",502,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2006",468,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2009",465,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2012",460.02,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2015",451,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2018",446,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2006",507,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2009",503,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2012",495.913,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2015",478,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2018",484,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2006",488,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2009",496,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2012",476.676,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2015",472,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2018",471,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2006",508,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2009",507,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2012",523.942,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2015",508,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2018",495,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2006",477,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2009",488,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2012",494.897,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2015",489,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2018",470,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2006",533,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2009",534,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2012",551.947,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2015",545,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2018",531,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2006",521,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2009",537,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2012",539.408,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2015",511,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2018",521,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2006",491,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2009",487,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2012",498.715,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2015",487,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2018",475,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2006",413,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2009",419,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2012",418.128,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2015",420,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2018",424,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2006",528,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2009",524,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2012",523.622,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2015",511,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2018",499,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2006",528,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2009",529,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2012",517.875,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2015",516,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2018",509,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2006",484,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2009",498,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2012",492.792,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2015",500,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2018",485,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2006",500,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2009",505,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2012",524.421,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2015",504,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2018",511,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2006",477,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2009",491,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2012",488.346,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2015",506,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2018",494,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2006",491,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2009",490,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2012",474.658,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2015",460,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2018",461,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2006",491,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2009",492,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2012",500.119,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2015",496,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2018",484,
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2006",504,
